cve_id,type,dataset,TotalImpact,TotalAutomation,ChangeCount
CVE-2014-0160,Package,Services,6,2,1
CVE-2014-0160,Source,Services,3,1,2
CVE-2014-6271,Package,Services,6,2,1
CVE-2015-3306,Package,Services,12,2,2
CVE-2015-3306,Source,Services,4,1,2
CVE-2015-5180,Bundle,Web,14,4,3
CVE-2015-5180,Compose,Web,6,2,1
CVE-2016-7982,Bundle,Web,9,3,3
CVE-2016-7982,Compose,Web,9,3,3
CVE-2017-12617,Compose,Web,12,4,2
CVE-2017-14849,Package,Services,7,1,2
CVE-2017-14849,Source,Services,10,2,3
CVE-2017-16082,Package,Services,8,3,2
CVE-2017-16082,Source,Services,2,2,1
CVE-2017-7494,Package,Services,2,1,1
CVE-2017-7494,Source,Services,2,1,1
CVE-2017-7529,Package,Services,2,2,1
CVE-2017-7529,Source,Services,4,1,2
CVE-2018-10933,Package,Services,5,0,4
CVE-2018-10933,Source,Services,5,0,4
CVE-2018-3760,Package,Services,12,4,2
CVE-2018-3760,Source,Services,8,2,2
CVE-2018-3811,Compose,Web,8,2,2
CVE-2018-7422,Bundle,Web,1,2,1
CVE-2018-7422,Compose,Web,2,2,1
CVE-2018-7600,Bundle,Web,8,1,2
CVE-2018-7600,Compose,Web,16,3,6
CVE-2019-16278,Bundle,Web,5,2,3
CVE-2019-16278,Compose,Web,8,3,4
CVE-2019-6340,Bundle,Web,16,3,4
CVE-2019-6340,Compose,Web,11,2,4
CVE-2019-9193,Package,Services,4,2,2
CVE-2019-9193,Source,Services,12,0,2
CVE-2020-7247,Package,Services,12,2,2
CVE-2020-7247,Source,Services,8,2,2
CVE-2023-2636,Bundle,Web,10,4,3
CVE-2023-2636,Compose,Web,10,4,3
CVE-2023-38633,Package,Services,6,2,1
CVE-2023-38633,Source,Services,6,2,1
